Produktbereiche/Produktgruppen,Ordentliche Erträge,Ordentliche,ordentliches,Finanz-,Ergebnis der lfd. Verw- tätigkeit,Außer- ordentl. Ergebnis,Ergebnis des
,,Aufwendungen,Ergebnis,ergebnis,,,Teilhaushaltes*
,EUR,EUR,EUR,EUR,EUR,EUR,EUR
0101 Bezirksvertretungen/frei verfügb. Mittel,,"338.560,00","338.560,00-",,"338.560,00-",,"338.560,00-"
"0102 GF für polit. Gremien, internat. Beziehungen","288.240,00","5.862.130,00","5.573.890,00-",,"5.573.890,00-",,"5.573.890,00-"
"0103 OB, BM und Verwaltungsführung","272.000,00","9.274.030,00","9.002.030,00-",,"9.002.030,00-",,"9.002.030,00-"
0104 Gleichstellung aller Geschlechter,"4.000,00","2.289.290,00","2.285.290,00-",,"2.285.290,00-",,"2.285.290,00-"
0105 Personal- u. Schwerbehindertenvertretung,"210.000,00","2.061.450,00","1.851.450,00-",,"1.851.450,00-",,"1.851.450,00-"
0106 Wirtschaftlichkeitsprüfung und Revision,"61.660,00","2.176.140,00","2.114.480,00-",,"2.114.480,00-",,"2.114.480,00-"
0107 Public Relations,"58.300,00","1.841.850,00","1.783.550,00-",,"1.783.550,00-",,"1.783.550,00-"
0108 Personal- und Organisationsmanagement,"3.154.710,00","24.113.990,00","20.959.280,00-",,"20.959.280,00-",,"20.959.280,00-"
0109 Finanz- und Beteiligungsmanagement,"1.983.830,00","16.656.010,00","14.672.180,00-",,"14.672.180,00-",,"14.672.180,00-"
0110 Recht,"682.860,00","2.956.770,00","2.273.910,00-",,"2.273.910,00-",,"2.273.910,00-"
0111 Immobilienmanagement,"38.599.780,00","128.438.230,00","89.838.450,00-",,"89.838.450,00-",,"89.838.450,00-"
0113 Zentrale Dienste,"1.560.610,00","21.449.710,00","19.889.100,00-",,"19.889.100,00-",,"19.889.100,00-"
0114 Stiftungsmanagement,"500.000,00","514.260,00","14.260,00-",,"14.260,00-",,"14.260,00-"
0115 IT-Management (citeq),,"8.000,00","8.000,00-",,"8.000,00-",,"8.000,00-"
0116 Migrations- und Integrationsmanagement,"693.320,00","1.263.440,00","570.120,00-",,"570.120,00-",,"570.120,00-"
01 Innere Verwaltung,"48.069.310,00","219.243.860,00","171.174.550,00-",,"171.174.550,00-",,"171.174.550,00-"
0201 Ordnungsrechtliche Angelegenheiten,"485.000,00","7.315.300,00","6.830.300,00-",,"6.830.300,00-",,"6.830.300,00-"
0202 Gewerberechtliche Angelegenheiten,"1.330.000,00","2.295.110,00","965.110,00-",,"965.110,00-",,"965.110,00-"
0203 Straßenverkehrsrechtliche Angelegenheit,"16.499.000,00","12.635.230,00","3.863.770,00",,"3.863.770,00",,"3.863.770,00"
0204 Bürgerangelegenheiten,"5.730.230,00","9.346.670,00","3.616.440,00-",,"3.616.440,00-",,"3.616.440,00-"
0205 Standesamtsangelegenheiten,"474.030,00","2.032.060,00","1.558.030,00-",,"1.558.030,00-",,"1.558.030,00-"
0206 Ausländerangelegenheiten,"702.230,00","5.157.100,00","4.454.870,00-",,"4.454.870,00-",,"4.454.870,00-"
0207 Statistik,"550,00","709.450,00","708.900,00-",,"708.900,00-",,"708.900,00-"
0208 Wahlen,,"2.510,00","2.510,00-",,"2.510,00-",,"2.510,00-"
0209 Brandschutz & feuerwehrt.Hilfeleistungen,"2.072.010,00","44.086.450,00","42.014.440,00-",,"42.014.440,00-",,"42.014.440,00-"
0210 Rettungsdienst,"32.675.100,00","35.389.130,00","2.714.030,00-",,"2.714.030,00-",,"2.714.030,00-"
0211 Veterinärwesen & Lebensmittelüberwachung,"227.620,00","3.283.980,00","3.056.360,00-",,"3.056.360,00-",,"3.056.360,00-"
02 Sicherheit und Ordnung,"60.195.770,00","122.252.990,00","62.057.220,00-",,"62.057.220,00-",,"62.057.220,00-"
0301 Leistungen für Schulen,"3.535.630,00","42.903.040,00","39.367.410,00-",,"39.367.410,00-",,"39.367.410,00-"
0302 Zentr.Leist. f. am Schulleben Beteiligte,"997.820,00","15.697.530,00","14.699.710,00-",,"14.699.710,00-",,"14.699.710,00-"
03 Schulträgeraufgaben,"4.533.450,00","58.600.570,00","54.067.120,00-",,"54.067.120,00-",,"54.067.120,00-"
