Laufbahngruppen,Besoldungs- gruppe,,Zahl der,,,Zahl der,,,Zahl der,,,Ist-Besetzung,,Erläuterungen
,,,Stellen,,,Stellen,,,Stellen,,,am,,
,,,2027,,,2026,,,2025,,,30.06.2025,,
Laufbahngruppe 2 - Einstiegsamt 2,,,,,,,,,,,,,,
,B2,"1,00",,,"1,00",,,"1,00",,,"1,00",,,
,A16,"0,00",,,"0,00",,,"0,00",,,"0,00",,,
,A15,"3,00",,,"3,00",,,"4,00",,,"2,82",,,
,A14,"1,00",,,"1,00",,,"1,00",,,"1,00",,,
,Summe,,"5,00",,,"5,00",,,"6,00",,"4,82",,,
Laufbahngruppe 2 - Einstiegsamt 1,,,,,,,,,,,,,,
,A13L2E1,"6,00",,,"6,00",,,"6,00",,,"5,85",,,
,A12,"16,50",,,"16,50",,,"18,50",,,"14,84",,,
,A11,"7,00",,,"7,00",,,"7,00",,,"4,42",,,
,A10L2E1,"2,00",,,"2,00",,,"2,00",,,"2,77",,,
,Summe,,"31,50",,,"31,50",,,"33,50",,"27,89",,,
Laufbahngruppe 1 - Einstiegsamt 2,,,,,,,,,,,,,,
,A9L1E2,"0,00",,,"0,00",,,"0,00",,,"0,00",,,
,A8,"2,00",,,"2,00",,,"2,00",,,"2,00",,,
,Summe,,"2,00",,,"2,00",,,"2,00",,"2,00",,,
Insgesamt,,,"38,50",,,"38,50",,,"41,50",,"34,71",,,
