Ein- und Auszahlungsarten,,Ergebnis 2023 (€),Haushaltsansatz 2024 (€),,davon Übertr.Ermächt.,Ergebnis 2024 (€),Vgl.fort.An./Erg.,Übertr. Ermächt.
,,,Original,fortgeschrieben,aus 2023 (€),,absolut,nach 2025 (€)
30,= Auszahlungen aus Investitionstätigkeit,"246.210.019,92",356.738.900,551.207.391,194.468.491,"302.591.563,27",248.615.828-,197.008.168
31,= Saldo aus Investitionstätigkeit (= Zeilen 23 und 30),"172.127.014,74-",258.549.130-,453.017.621-,194.468.491-,"228.157.471,86-",224.860.149+,197.008.168-
32,= Finanzmittelüberschuss/-fehlbetrag (= Zeilen 17 und 31),"116.865.401,91-",278.898.330-,500.412.107-,221.513.777-,"261.087.293,00-",239.324.814+,214.740.809-
33,+ Einzahlungen aus der Aufnahme und durch Rückflüsse von Krediten für Investitionen + wirtsch.gleichk. Rechtsverhältnissen + Einzahlungen aus der Aufnahme und durch Rückflüsse von Krediten zur Liquiditätssicherung - Auszahlungen für die Tilgung und Gewährung von Krediten für Investitionen + wirtsch. gleichkommenden Rechtsverhältnissen - Auszahlungen für die Tilgung und Gewährung von Krediten zur Liquiditätssicherung,"185.011.326,43",275.534.040,420.424.040,144.890.000,"235.120.627,82",185.303.412-,185.420.000
34,,"30.124.960,78",653.164.805,653.164.805,0,"115.015.647,66",538.149.158-,0
35,,"53.179.304,12",59.588.000,69.588.000,10.000.000,"50.362.903,14",19.225.097-,0
36,,"28.599.694,04",640.308.860,640.308.860,0,"30.124.960,78",610.183.899-,0
37,= Saldo aus Finanzierungstätigkeit,"133.357.289,05",228.801.985,363.691.985,134.890.000,"269.648.411,56",94.043.574-,185.420.000
38,= Änderung des Bestandes an eigenen Finanzmitteln (= Zeilen 32 und 37),"16.491.887,14",50.096.345-,136.720.122-,86.623.777-,"8.561.118,56",145.281.240+,29.320.809-
39,+ Anfangsbestand an Finanzmitteln + Änderung des Bestandes an fremden Finanzmitteln,"23.553.760,02",24.353.128,24.353.128,0,"24.353.128,49",0+,0
40,,"15.692.518,67-",0,0,0,"9.428.603,89",9.428.604+,0
41,"= Liquide Mittel (= Zeilen 38, 39 und 40)","24.353.128,49",25.743.216-,112.366.993-,86.623.777-,"42.342.850,94",154.709.844+,29.320.809-
